amount,account_age_days,transactions_24h,failed_transactions_24h,device_changes_30d,location_mismatch,international_transaction,previous_chargebacks,is_risky
191.93,1766,5,0,1,0,0,0,0
94.03,764,5,1,0,0,0,0,0
11.44,249,2,1,0,0,1,1,0
92.21,521,9,1,0,0,0,0,0
45.37,34,2,1,0,0,0,1,0
33.89,228,5,2,1,0,1,0,0
122.94,585,7,1,0,0,0,0,0
186.98,1423,5,0,0,0,0,0,0
169.23,958,3,1,1,0,1,0,0
28.81,813,2,0,0,0,0,0,0
48.95,724,11,1,2,0,0,0,0
92.88,584,5,1,1,0,0,0,0
176.89,570,5,1,1,0,0,0,0
41.3,220,9,2,0,0,0,0,0
55.39,1395,3,0,0,0,0,1,1
22.06,787,7,0,2,0,0,0,1
20.16,1785,2,2,0,0,0,0,0
150.28,528,7,0,0,0,0,0,0
258.85,75,2,0,0,0,0,0,0
62.05,1642,6,1,0,0,0,0,0
181.91,136,4,2,0,0,0,0,0
95.74,1953,1,0,0,0,1,0,0
34.98,74,4,0,1,0,0,0,0
95.72,254,6,0,0,0,1,0,0
310.45,1042,0,0,1,0,0,0,0
64.34,1955,5,3,1,0,0,0,0
318.83,1022,3,0,1,0,0,0,0
4.86,1067,3,0,1,0,0,0,0
151.7,50,6,2,0,0,1,0,0
72.75,515,7,1,1,0,0,0,0
49.45,744,3,0,0,0,0,0,0
73.1,731,5,2,1,0,0,0,0
9.14,571,2,0,1,0,0,1,1
53.53,1820,5,0,1,0,0,0,0
95.31,1838,2,1,1,1,0,0,0
292.33,576,4,0,1,0,0,0,0
39.72,1606,3,0,1,0,0,0,0
29.71,1327,4,0,2,0,0,0,0
40.38,1166,1,3,1,1,0,0,0
166.57,903,1,1,0,0,0,0,0
92.64,202,3,3,0,0,1,0,1
39.26,207,4,0,0,0,1,0,0
111.42,415,4,1,2,1,1,0,1
73.48,221,2,2,3,0,0,2,0
175.68,1386,0,1,2,0,0,0,0
33.05,758,7,1,0,0,0,0,0
48.05,1105,2,1,0,0,0,0,0
45.06,763,5,0,2,0,1,0,1
15.43,563,8,0,0,0,0,1,1
89.67,1309,3,1,0,1,0,0,0
86.58,369,4,0,0,0,0,0,1
67.03,1516,2,0,0,0,0,0,0
52.74,1935,5,0,1,0,0,0,0
16.19,896,2,0,0,0,0,0,0
43.79,1370,3,0,0,0,1,0,0
47.34,204,1,1,1,1,1,2,1
29.9,1049,3,1,1,0,0,0,0
56.75,957,3,1,0,0,0,1,0
99.89,1577,5,2,0,0,0,1,1
439.74,69,4,0,1,0,0,0,0
79.41,516,3,1,0,0,0,0,0
86.28,1516,6,0,0,1,0,1,0
61.9,240,3,0,0,0,0,1,0
9.79,361,3,0,0,0,0,0,0
64.94,1465,5,0,2,0,0,0,1
70.83,1055,4,0,0,0,1,0,0
783.09,1923,5,0,0,0,0,0,1
55.02,1653,1,0,1,0,0,0,0
90.16,707,4,1,0,1,0,0,0
64.41,1626,5,0,1,0,0,0,0
20.72,690,6,1,0,0,1,0,0
209.1,657,3,1,0,0,0,1,0
141.45,1980,3,1,0,0,1,0,0
147.09,1738,5,2,2,0,0,0,1
26.86,1346,0,0,1,0,0,0,0
271.18,344,4,4,0,0,0,0,0
16.41,1739,4,0,0,0,0,0,1
119.92,536,4,2,1,0,0,1,1
596.13,355,4,0,0,0,0,0,0
24.77,1495,2,1,0,0,0,1,0
37.85,928,5,3,1,0,0,0,0
73.67,983,4,2,0,0,0,0,0
40.31,105,1,0,0,0,1,0,0
14.14,1811,1,1,2,1,0,0,0
71.42,1346,5,0,0,0,0,0,0
23.05,1596,5,0,1,0,0,0,0
107.08,1907,4,3,0,0,0,0,1
26.59,962,2,3,0,0,0,0,0
314.17,527,6,1,1,0,0,1,0
30.47,504,4,1,0,0,0,0,0
48.32,1109,1,2,1,1,0,0,0
150.43,931,6,0,2,0,0,0,0
19.48,709,6,0,0,0,0,0,0
83.72,235,5,0,0,0,0,0,0
246.45,1947,5,0,0,0,0,0,0
13.36,1880,6,1,0,0,0,0,0
80.21,1287,3,1,0,0,1,0,0
86.48,1030,5,1,0,0,1,0,0
145.74,494,2,1,0,0,0,0,0
19.36,1917,6,2,1,0,0,0,0
17.81,1313,4,2,1,0,0,0,1
112.39,1594,7,1,0,0,0,1,0
89.75,1969,9,2,2,0,0,0,0
85.67,1681,0,1,0,0,0,0,0
94.3,878,2,0,0,0,1,0,0
33.78,1578,6,0,0,0,0,0,0
84.12,1374,5,1,2,0,0,0,0
89.4,1224,3,1,1,0,1,0,0
32.64,1960,3,1,0,0,0,0,0
430.86,1710,5,0,0,0,0,0,0
107.11,967,9,1,0,0,1,1,1
20.26,966,4,1,0,0,0,0,0
128.58,964,7,1,1,1,0,0,0
25.16,897,2,0,0,0,0,1,0
146.51,1359,3,3,0,0,0,0,0
212.43,1631,5,0,0,0,0,0,0
29.35,217,2,2,0,0,1,0,0
174.75,623,2,0,0,0,0,1,0
100.76,353,5,0,0,0,1,0,0
151.72,692,6,1,0,0,0,0,0
444.43,675,4,0,0,0,0,0,1
52.18,631,2,1,1,0,0,0,0
31.38,325,5,2,1,1,0,0,0
27.4,901,3,2,0,0,0,1,1
29.49,1252,5,1,0,0,0,0,0
61.74,1169,2,0,0,0,0,0,0
93.8,1973,3,1,0,0,0,0,0
87.94,308,1,4,0,0,1,0,0
152.5,654,5,0,0,0,1,0,0
67.56,1658,3,1,2,0,1,0,1
285.3,285,4,0,1,0,0,1,1
51.18,392,1,0,2,1,0,0,0
1012.49,1762,4,3,0,0,0,0,0
124.67,360,6,1,0,0,0,1,0
28.3,769,8,0,3,0,0,0,0
22.85,797,2,0,0,0,0,1,0
108.04,932,3,1,1,0,1,0,0
53.33,1971,4,1,0,0,0,0,0
136.18,165,6,1,0,0,0,0,0
107.04,733,4,0,0,0,0,0,0
62.0,581,2,1,0,0,1,0,0
28.59,821,4,1,0,0,0,0,0
14.66,1248,6,0,0,0,0,0,0
42.67,124,4,4,0,0,0,1,0
157.02,1972,0,0,1,0,0,0,1
82.61,344,6,2,0,0,0,0,1
19.19,1875,9,0,0,0,0,0,0
79.3,524,3,1,1,0,0,1,1
98.03,1076,6,2,0,0,0,0,0
27.55,129,3,1,0,0,0,0,0
77.77,1159,3,2,2,0,0,1,0
70.68,657,2,1,0,0,0,0,0
21.26,1151,5,0,0,0,1,0,0
95.37,738,5,2,2,0,1,0,0
116.84,939,1,1,1,0,0,1,0
196.97,71,4,1,0,0,0,0,0
191.29,273,3,1,0,0,0,0,0
16.82,1211,3,0,0,0,0,0,0
26.11,1027,1,2,2,1,0,0,0
111.61,1309,3,2,1,1,1,0,0
111.47,22,1,1,0,0,0,0,0
111.61,166,5,2,1,0,0,2,0
3142.37,1334,6,0,1,0,0,1,1
118.02,875,4,1,0,0,0,0,0
207.59,1501,4,0,0,0,0,0,0
173.12,498,1,0,0,0,0,1,1
127.92,434,6,1,0,0,0,1,0
48.65,758,1,0,1,0,0,0,0
142.45,234,3,1,2,1,0,0,1
30.79,837,2,0,0,0,0,1,0
52.62,1694,3,1,1,1,0,1,1
41.04,663,5,1,0,0,0,0,0
72.38,725,2,0,1,0,0,0,0
674.96,376,2,0,1,0,0,0,0
10.31,730,6,0,0,0,0,1,0
132.46,1270,3,1,2,1,1,0,0
13.29,303,4,1,0,0,0,0,0
41.6,405,6,0,0,0,0,0,0
198.14,1812,3,1,1,0,0,0,0
71.11,1687,2,0,0,0,0,0,0
22.7,708,7,0,0,0,0,0,0
32.61,917,4,1,0,0,0,0,1
131.58,21,4,1,1,0,0,1,1
32.12,257,5,1,1,0,0,0,0
82.8,399,3,1,0,0,0,0,0
69.8,1553,5,1,2,0,0,0,0
34.76,51,5,1,0,0,1,0,0
569.04,447,9,1,0,0,0,0,0
125.7,1294,1,0,2,0,0,1,0
8.8,827,5,1,1,0,0,0,0
80.35,595,3,1,0,0,0,0,0
34.41,818,3,0,1,1,0,0,0
156.4,636,2,2,0,0,1,1,0
30.19,1826,5,0,1,0,0,0,0
59.46,1286,2,0,0,0,0,0,0
110.5,1389,4,1,3,0,0,0,0
158.5,1073,5,0,0,0,1,0,0
20.08,1542,3,3,2,0,0,0,0
47.73,1653,4,1,0,0,0,0,0
41.47,1142,2,0,0,0,0,1,0
34.7,1477,10,1,1,0,0,0,0
389.73,775,4,0,0,0,0,0,0
99.98,1889,2,2,0,0,0,0,0
18.9,973,4,0,0,0,0,0,0
166.98,1971,3,1,2,0,0,0,0
556.77,1910,3,2,1,0,1,0,1
187.25,1665,1,1,1,1,0,0,0
14.59,397,6,0,0,0,1,1,1
41.09,683,2,0,0,0,0,0,0
236.73,1051,6,0,0,0,0,0,1
32.86,711,6,2,0,0,0,0,0
103.94,1396,4,1,1,0,0,0,0
144.7,1923,4,1,0,0,0,0,0
26.39,1850,3,2,0,0,0,0,0
62.83,1881,6,1,0,0,0,2,0
2.61,1121,4,2,1,0,1,0,0
23.94,529,6,0,0,1,1,0,0
51.8,685,6,0,2,0,0,0,0
19.15,1998,2,0,1,0,0,1,0
341.18,613,3,1,1,0,0,0,0
15.96,186,7,2,0,0,0,1,0
42.95,696,3,2,1,0,0,0,0
76.0,1974,8,2,0,0,0,1,0
281.82,215,1,2,0,0,0,0,0
15.87,1275,7,0,0,0,0,0,0
213.4,216,7,0,0,0,1,0,1
67.37,29,6,1,0,0,0,0,0
24.99,102,0,1,1,0,0,0,0
105.86,123,8,0,0,0,0,0,0
81.37,54,4,2,0,0,0,0,0
36.59,1307,2,0,0,0,0,0,0
71.51,1638,3,1,1,0,0,0,0
45.36,1141,4,0,1,0,0,2,0
74.7,616,7,1,0,1,1,0,1
129.3,557,5,0,0,0,0,0,0
325.71,114,2,0,1,0,0,0,0
19.34,855,8,0,1,0,1,0,0
562.86,1567,5,1,0,0,1,0,1
9.47,676,3,0,1,0,1,0,0
57.3,977,2,0,0,0,0,0,0
120.1,701,5,1,0,0,0,0,0
88.32,1317,5,1,0,0,0,0,0
35.78,1219,5,0,0,0,0,0,0
54.16,292,6,0,1,0,0,0,0
40.73,1911,8,2,0,0,0,1,0
36.99,261,8,0,0,0,1,0,1
155.96,1966,4,1,0,0,0,1,0
95.3,1231,3,1,0,0,0,0,0
33.35,564,3,0,1,0,0,0,0
163.96,49,2,3,1,0,0,0,0
90.68,1030,3,0,0,0,0,0,0
150.33,379,4,1,0,0,0,0,0
125.16,1418,4,0,1,0,0,0,0
29.11,1910,3,1,0,0,0,0,0
38.08,224,6,1,0,0,1,0,0
140.79,1047,4,2,0,0,0,0,0
122.78,1008,4,4,1,0,0,0,0
65.31,657,6,1,1,0,0,0,0
74.99,110,5,1,1,0,0,2,0
239.29,724,2,1,1,0,0,0,1
36.91,1836,4,0,1,0,1,0,0
115.25,553,5,1,1,0,0,0,0
54.48,1423,4,2,1,0,1,0,0
53.64,1196,3,1,0,0,0,1,1
200.09,1006,1,2,0,0,1,0,0
152.23,698,4,0,1,0,0,1,1
150.43,726,4,2,0,0,0,0,0
246.04,306,4,1,0,0,0,1,0
68.1,1588,3,0,1,0,0,0,0
131.89,1606,3,2,0,0,1,0,0
48.9,1732,2,0,1,0,0,0,0
92.22,959,4,0,1,0,0,0,0
58.55,954,4,0,0,0,0,0,0
73.48,1175,5,1,0,0,0,0,0
120.92,1452,4,0,1,0,0,0,0
29.42,621,7,2,0,0,0,0,0
540.44,1491,3,0,3,0,0,0,1
24.39,630,3,1,0,0,0,0,0
19.8,877,5,2,2,0,1,1,1
212.32,1631,1,0,1,0,0,0,0
147.18,1792,1,2,2,0,0,0,0
124.48,556,6,2,0,1,1,0,0
125.0,1972,1,0,0,0,0,0,0
65.87,67,9,0,0,1,1,1,1
27.19,1180,2,1,0,0,0,2,0
71.94,835,3,0,0,0,0,0,0
33.88,206,5,0,1,0,0,0,1
176.82,786,6,0,0,0,0,0,0
57.57,155,5,3,0,0,0,0,0
29.21,1715,8,0,0,0,1,2,1
48.36,1533,4,2,0,0,0,0,0
100.78,1596,8,2,0,0,0,0,0
37.95,1098,3,0,0,0,1,0,1
29.31,1073,4,2,1,0,0,0,0
85.09,783,5,2,3,0,0,0,0
85.2,1491,5,0,0,0,1,0,0
40.17,585,6,1,0,0,0,0,0
41.64,708,3,1,0,0,0,0,0
84.1,1935,0,0,2,0,0,0,0
15.67,179,5,0,1,0,0,1,0
16.32,1072,3,2,1,0,1,0,0
32.51,1096,5,0,0,0,0,0,0
53.87,113,3,1,2,0,0,0,0
91.0,757,1,1,0,0,0,0,0
291.59,897,2,2,1,1,0,0,0
157.22,1927,2,0,3,0,0,0,0
56.83,821,2,0,0,0,0,0,0
65.43,159,2,1,0,0,0,0,0
24.47,786,5,0,2,0,0,0,1
65.46,1804,9,0,0,0,0,0,0
49.97,1840,5,0,1,0,0,2,1
92.09,1054,5,0,0,0,0,0,0
29.16,1121,1,3,0,0,0,0,0
112.09,251,2,0,1,0,0,0,0
308.81,1543,3,1,0,0,0,0,0
59.81,1116,4,1,1,0,0,0,0
99.65,113,6,1,0,0,0,0,0
132.97,259,6,1,1,0,0,0,0
44.65,107,4,1,1,0,0,0,0
83.44,575,4,0,0,0,0,1,0
67.53,1414,4,3,0,0,0,0,0
73.53,991,5,2,1,1,1,0,1
30.78,1382,7,3,0,0,0,0,0
68.34,1807,5,0,0,0,1,0,0
109.73,1223,3,0,1,0,0,0,0
284.62,427,7,2,0,0,1,0,0
174.04,1502,4,1,1,0,0,0,0
574.32,859,6,0,0,0,0,0,0
30.96,1873,4,3,1,0,0,0,0
159.54,1527,3,0,1,0,0,0,0
80.11,1682,2,0,0,0,0,2,1
595.74,918,1,1,0,0,1,0,1
29.72,1597,2,1,0,0,0,1,0
28.8,1144,4,2,0,1,0,0,0
36.62,1597,8,0,0,0,0,0,0
7.97,1333,3,0,0,1,0,0,0
39.42,1562,3,2,0,0,0,0,0
31.21,627,5,0,0,0,0,0,0
77.51,475,6,0,1,0,0,0,0
93.86,552,5,0,1,0,0,0,0
435.36,344,5,0,0,0,0,0,0
172.5,628,4,0,0,0,0,0,0
37.45,136,5,1,0,0,0,0,0
27.16,277,2,0,3,0,0,0,1
109.06,1835,3,1,1,0,0,0,0
17.81,1557,2,0,0,0,0,0,0
416.32,1923,3,1,0,0,0,0,0
216.9,31,5,1,0,0,0,0,0
41.71,247,4,0,1,0,0,0,0
12.02,411,1,1,0,0,1,0,0
258.24,27,2,0,0,0,1,0,0
59.47,73,4,0,1,0,0,0,0
229.94,1977,7,0,1,0,0,0,0
13.54,1121,3,0,1,0,0,0,0
36.62,673,5,0,1,0,0,0,0
67.04,1370,6,1,0,0,0,1,0
69.89,476,1,0,0,0,0,0,0
42.52,1324,4,2,1,0,0,0,0
124.32,1323,2,0,1,0,0,0,0
22.93,287,4,0,0,0,0,0,0
57.84,1909,4,0,0,0,0,0,0
75.21,1473,1,1,0,1,0,0,1
111.55,212,6,1,0,0,0,0,0
135.86,1100,6,1,0,0,0,0,0
21.66,401,1,1,0,0,0,0,0
14.38,655,6,0,1,0,0,0,0
239.29,1058,5,0,0,0,0,0,0
92.97,498,2,2,0,0,0,1,0
31.55,848,2,0,0,0,0,0,0
314.55,1540,4,2,0,0,0,1,1
74.86,1352,6,1,0,0,0,0,0
216.87,98,5,0,1,0,0,1,0
71.34,366,1,0,0,1,1,0,0
523.61,1753,5,1,0,0,0,0,1
385.81,463,5,0,0,0,0,0,0
51.99,28,3,2,1,0,0,0,0
176.19,713,4,0,1,0,0,0,0
127.15,1410,4,0,0,0,1,0,0
262.08,273,5,3,1,0,1,0,1
25.41,826,3,1,0,0,0,1,0
132.43,1151,2,0,2,0,0,0,0
192.18,202,3,0,1,0,1,1,1
11.49,1545,3,0,1,0,0,0,0
20.42,1311,7,1,0,0,0,0,0
8.68,450,5,0,1,0,0,0,0
50.94,1112,3,0,3,0,0,0,0
136.67,1342,3,1,0,0,0,0,0
299.57,19,4,0,0,1,0,0,1
71.82,1617,5,0,0,0,0,0,0
339.89,1131,5,1,2,1,0,1,1
16.78,1482,1,1,1,1,0,0,0
12.14,311,4,2,0,0,0,0,0
63.08,412,4,0,2,0,0,1,1
97.91,742,4,0,1,1,0,0,0
64.54,624,3,0,0,0,0,0,0
8.44,732,8,0,0,0,1,0,0
61.0,635,2,1,1,0,0,0,0
18.09,498,3,2,0,1,0,0,0
130.28,244,4,2,1,0,1,0,0
96.22,690,6,0,1,0,0,0,0
26.05,577,2,0,1,0,0,0,0
39.89,1404,4,1,1,0,0,0,0
23.12,515,6,1,0,0,0,1,1
62.63,207,1,1,1,0,0,1,0
173.32,948,4,1,0,0,0,0,0
24.89,394,3,1,1,0,1,0,1
110.39,1045,3,1,0,1,0,0,0
39.24,1829,4,1,0,0,0,1,1
30.18,1551,8,0,0,0,1,0,0
59.92,1367,6,1,1,0,0,0,0
23.68,718,3,0,0,0,0,0,0
38.33,1999,4,1,2,0,0,0,1
20.13,202,2,0,0,0,0,0,0
475.67,120,2,0,1,0,0,0,0
69.08,1673,6,1,0,0,0,0,0
33.12,1836,2,1,1,0,0,0,0
82.6,1831,5,1,0,0,0,0,0
59.6,389,2,1,0,0,0,0,0
53.47,1561,3,2,1,0,0,1,0
123.24,1848,10,2,2,0,0,0,0
142.24,234,3,1,0,0,0,0,0
39.23,1657,4,1,0,0,0,0,0
37.49,602,4,1,0,1,0,1,0
50.65,1344,7,0,1,0,0,0,0
6.67,712,11,1,1,0,0,0,0
14.66,982,2,1,3,0,0,0,0
261.62,1204,6,0,0,0,0,0,0
345.49,857,8,2,2,0,1,0,1
51.99,1392,4,0,1,0,0,1,0
118.69,76,4,0,1,0,0,0,0
91.04,649,2,0,1,0,1,0,0
1449.36,650,5,1,0,0,0,0,1
204.3,496,4,3,0,1,0,0,0
58.68,1546,3,0,0,0,0,0,0
25.65,1225,5,2,1,0,0,0,0
13.38,830,8,1,0,0,0,1,0
81.73,1370,4,1,0,0,0,0,0
31.3,483,4,0,1,0,0,1,0
16.08,1243,3,1,2,0,0,1,1
34.93,1084,4,1,0,0,0,0,0
22.61,991,3,3,0,0,0,0,0
360.37,1683,5,1,0,0,0,0,0
161.04,619,5,0,0,0,1,0,0
66.16,550,3,1,1,0,1,0,1
292.93,646,2,0,0,0,0,0,1
72.05,1935,6,0,2,0,0,0,0
28.18,1245,9,1,0,0,0,0,0
305.86,1839,2,1,0,0,0,0,0
114.31,1965,4,0,1,0,0,0,0
23.64,502,2,0,1,0,0,0,0
55.13,1157,5,1,0,1,0,1,1
27.78,846,4,1,0,0,0,0,1
16.73,53,6,2,1,0,0,0,0
168.37,450,4,1,0,0,0,0,0
450.08,62,10,0,0,0,0,0,0
16.47,1047,3,0,1,0,0,0,0
117.09,44,5,2,3,0,1,0,0
34.79,820,4,0,1,0,0,0,0
40.97,1582,3,1,3,0,1,0,0
36.88,659,4,0,0,0,0,0,0
28.11,728,4,2,1,0,1,0,0
70.0,852,4,0,3,0,0,1,0
29.05,47,2,1,0,0,0,1,1
87.4,1883,0,1,0,1,0,0,0
63.42,820,4,0,2,0,0,1,0
52.51,1048,3,1,1,0,0,0,0
26.91,1681,5,1,0,0,1,0,1
37.46,89,4,0,0,0,0,0,0
141.94,1198,3,1,0,0,0,0,0
110.05,1600,4,2,0,0,0,1,1
25.09,1143,4,2,0,0,0,0,0
73.65,735,1,2,0,0,0,0,0
141.37,1692,4,0,1,0,0,0,0
12.56,178,3,3,0,1,0,0,0
114.82,1019,3,0,1,0,0,0,0
34.38,1856,6,1,0,0,0,0,0
117.99,1948,3,0,1,0,0,1,0
31.09,1366,4,1,0,0,1,0,0
10.97,1592,3,0,1,0,1,0,1
13.1,1083,4,0,0,0,0,0,0
69.97,901,7,0,1,0,0,0,0
86.46,438,5,0,1,0,0,0,0
27.0,1452,4,1,0,0,0,0,0
126.29,426,4,3,0,0,0,0,0
12.66,968,4,1,0,0,0,0,0
62.42,1405,7,2,0,0,0,0,0
19.87,486,6,0,1,0,0,0,0
34.75,1756,2,0,0,0,0,0,0
69.92,1209,7,0,0,0,0,0,0
28.21,1583,4,1,0,0,0,1,1
45.4,460,2,0,3,0,0,0,0
182.42,1913,6,1,2,0,0,0,0
37.45,921,6,0,1,0,0,0,0
153.81,1126,2,0,0,0,1,0,0
21.55,1580,4,0,0,0,0,0,0
113.27,1039,1,1,0,0,1,0,0
281.9,748,6,2,0,0,0,0,0
5.63,1897,7,0,0,0,0,0,0
30.06,51,4,0,0,0,0,0,0
118.76,309,3,0,0,0,0,1,0
54.43,1058,3,1,0,0,0,0,0
96.65,1660,5,0,0,0,0,0,0
36.45,1005,2,1,0,0,0,1,0
72.72,1613,0,0,0,0,0,0,0
57.07,1928,6,1,1,0,0,0,0
214.39,635,5,2,1,0,0,0,0
86.01,205,4,1,0,0,0,0,0
93.47,740,3,0,0,0,0,0,0
44.17,1094,2,0,1,0,0,0,0
40.95,1254,2,0,2,1,0,0,0
43.27,1504,4,1,1,0,0,0,0
98.93,533,4,1,1,0,1,2,0
43.77,108,4,0,0,0,1,1,0
89.1,876,6,2,0,0,0,0,0
531.34,1265,5,0,1,0,1,0,0
159.35,251,2,0,0,0,0,1,0
48.13,135,3,0,0,0,0,0,1
221.68,1114,6,0,1,0,1,1,0
44.34,1615,3,1,0,0,0,2,0
8.69,1464,3,0,2,0,0,0,0
24.33,689,4,0,2,1,0,0,1
10.27,1322,4,0,0,0,0,0,1
46.92,407,4,1,0,0,0,0,0
67.93,1332,4,1,0,0,0,0,1
356.54,102,1,1,0,0,0,0,0
92.47,1385,7,1,0,0,0,0,0
53.57,1871,4,0,0,0,1,0,1
152.84,1648,1,1,0,0,0,0,0
7.31,693,6,0,0,1,0,0,0
84.4,1640,5,1,0,0,0,0,0
144.15,1552,3,1,1,0,0,0,0
15.2,1632,8,0,1,0,0,0,0
209.3,1317,6,1,1,0,1,0,0
93.55,1170,4,1,2,0,1,0,0
44.02,404,3,0,1,0,0,0,0
125.56,814,3,2,0,0,0,0,0
645.93,1026,5,1,2,0,0,0,1
79.99,1143,3,2,1,0,0,0,0
85.47,855,4,0,1,0,0,0,0
42.12,1630,4,1,0,0,0,0,0
28.51,1215,4,0,2,0,0,0,0
152.98,1027,4,1,0,0,0,0,0
28.33,942,0,1,2,0,0,0,0
71.63,1021,7,0,0,0,0,0,0
41.36,1511,2,0,0,0,0,0,0
107.66,1647,4,0,0,0,0,0,0
93.1,177,1,1,0,0,0,0,0
188.21,1281,4,0,0,0,0,0,0
40.04,873,5,1,1,0,0,0,0
50.91,1558,2,0,0,0,0,1,0
25.06,477,4,1,0,0,0,0,0
42.76,398,4,0,0,0,0,0,0
97.25,1520,3,1,1,0,0,0,0
142.17,220,4,2,1,0,0,0,0
26.52,173,2,0,1,0,0,0,0
159.11,736,5,0,0,0,0,0,0
258.69,1414,4,2,0,1,0,0,0
100.83,502,4,2,1,0,0,1,0
435.63,1601,1,1,0,0,0,0,0
30.76,1813,4,2,2,0,0,0,0
19.21,761,3,1,1,0,0,0,0
11.26,1284,3,1,0,0,0,1,0
297.69,131,5,2,0,0,1,0,0
128.3,1137,5,1,0,0,1,0,0
63.08,798,5,1,1,0,0,1,0
88.23,799,4,1,1,0,0,0,0
21.64,930,7,0,1,1,1,1,1
769.51,723,8,0,1,0,1,0,0
75.89,1044,5,1,0,0,0,0,0
74.4,215,2,1,0,0,0,0,0
137.79,1334,6,0,0,0,0,0,0
107.88,1275,3,1,0,0,0,0,0
83.42,488,1,0,0,0,1,0,0
30.25,1406,3,1,0,0,1,1,1
106.85,1433,1,1,0,0,0,0,0
437.91,1295,1,1,1,0,1,0,0
256.06,1958,4,0,0,1,0,0,1
328.06,1431,1,0,2,0,0,0,0
40.0,1716,4,2,2,0,0,0,1
24.79,1218,4,2,0,0,0,0,0
58.8,1465,1,0,0,0,0,0,0
70.51,313,6,0,1,0,0,0,0
199.18,79,2,3,0,1,0,0,0
12.27,180,3,2,1,0,0,0,0
307.83,1004,8,1,1,0,0,0,0
56.94,675,3,0,1,0,0,1,0
43.52,1738,9,1,1,0,0,0,0
24.24,14,1,0,1,0,0,0,0
12.75,859,3,2,0,1,0,0,0
151.89,246,2,1,0,0,0,0,0
71.76,1038,6,0,0,0,0,0,1
18.36,99,2,0,2,0,0,0,0
18.26,33,3,1,0,0,1,0,0
47.67,1460,4,0,0,0,1,0,1
353.9,257,2,0,1,0,0,0,0
51.44,34,1,0,0,0,0,1,0
14.83,19,0,2,0,0,0,0,0
52.16,1688,5,0,0,0,0,0,0
50.77,1284,3,1,0,0,0,0,0
4.5,1700,5,3,0,0,1,0,0
63.16,589,3,0,0,0,0,0,0
52.94,1850,5,1,1,0,1,0,1
133.78,1440,5,1,0,0,0,0,0
423.67,137,5,1,0,0,0,0,0
205.73,359,5,1,0,0,0,0,0
50.96,1744,7,0,0,0,0,0,0
22.05,754,4,1,1,0,0,0,0
874.24,1603,3,1,0,0,0,0,0
70.75,1140,2,0,0,0,0,0,0
67.62,404,2,1,0,0,0,0,0
65.1,1226,7,1,0,0,0,1,0
81.3,1400,3,0,0,0,1,1,1
57.72,250,6,0,2,0,0,2,1
37.57,446,5,1,2,0,0,0,0
38.6,954,6,0,1,0,0,0,0
64.54,278,2,2,0,1,0,0,0
38.73,112,4,1,0,0,0,0,0
32.69,1987,1,0,0,0,0,0,0
74.18,1867,6,1,1,0,0,0,0
51.68,1497,7,2,0,0,0,0,0
300.06,746,3,1,1,1,1,0,0
4.71,688,5,0,1,0,1,0,0
198.64,392,3,0,0,0,0,0,0
231.85,969,2,0,1,1,0,0,0
8.39,143,3,0,0,0,0,0,0
47.34,1056,4,0,0,0,0,0,0
46.0,181,5,1,0,0,0,0,0
16.32,579,1,1,0,0,0,0,1
30.64,1540,4,1,0,0,0,1,0
21.96,798,3,0,2,0,0,0,1
